Arm_1_Probability,Arm_2_Probability,Arm_3_Probability,Arm_4_Probability
0.646,0.744,0.05,0.106
0.605,0.484,0.576,0.2
0.616,0.316,0.297,0.103
0.801,0.125,0.44,0.355
0.759,0.95,0.654,0.323
0.818,0.604,0.5,0.287
0.054,0.578,0.05,0.163
0.748,0.867,0.339,0.456
0.373,0.391,0.322,0.346
0.536,0.139,0.186,0.204
0.598,0.634,0.446,0.135
0.477,0.644,0.386,0.374
0.496,0.625,0.25,0.087
0.496,0.559,0.358,0.13
0.789,0.685,0.6,0.354
0.452,0.515,0.5,0.215
0.615,0.378,0.328,0.219
0.36,0.414,0.496,0.172
0.393,0.408,0.586,0.288
0.341,0.186,0.212,0.321
0.688,0.715,0.325,0.407
0.302,0.468,0.05,0.367
0.397,0.415,0.052,0.201
0.884,0.216,0.533,0.183
0.384,0.573,0.585,0.175
0.443,0.468,0.2,0.311
0.739,0.536,0.625,0.329
0.732,0.95,0.301,0.225
0.742,0.322,0.428,0.376
0.476,0.388,0.05,0.275
0.664,0.622,0.54,0.124
0.522,0.937,0.061,0.215
0.465,0.576,0.405,0.466
0.774,0.276,0.274,0.169
0.735,0.882,0.362,0.298
0.282,0.807,0.696,0.239
0.601,0.712,0.561,0.468
0.404,0.432,0.341,0.363
0.338,0.645,0.358,0.379
0.437,0.677,0.125,0.262
0.329,0.352,0.207,0.198
0.606,0.781,0.425,0.279
0.719,0.612,0.714,0.508
0.603,0.524,0.473,0.426
0.526,0.558,0.483,0.287
0.509,0.541,0.609,0.173
0.373,0.362,0.508,0.107
0.462,0.584,0.679,0.277
0.946,0.876,0.375,0.056
0.646,0.365,0.191,0.311
0.707,0.339,0.197,0.328
0.231,0.527,0.487,0.157
0.784,0.275,0.668,0.297
0.809,0.528,0.296,0.402
0.594,0.742,0.458,0.321
0.431,0.614,0.356,0.395
0.598,0.646,0.347,0.408
0.762,0.877,0.548,0.145
0.424,0.356,0.464,0.192
0.641,0.05,0.429,0.05
0.734,0.618,0.785,0.338
0.725,0.448,0.585,0.156
0.436,0.733,0.1,0.25
0.51,0.05,0.315,0.164
0.467,0.42,0.776,0.348
0.494,0.62,0.658,0.377
0.454,0.354,0.454,0.297
0.336,0.684,0.356,0.209
0.115,0.62,0.387,0.191
0.436,0.581,0.05,0.185
0.577,0.585,0.523,0.215
0.433,0.95,0.611,0.34
0.501,0.532,0.466,0.163
0.5,0.104,0.467,0.313
0.892,0.81,0.378,0.127
0.36,0.766,0.555,0.235
0.453,0.508,0.169,0.332
0.222,0.174,0.412,0.383
0.623,0.563,0.571,0.302
0.641,0.31,0.481,0.377
0.388,0.449,0.398,0.05
0.404,0.129,0.132,0.11
0.884,0.695,0.596,0.321
0.602,0.6,0.428,0.138
0.642,0.381,0.05,0.186
0.454,0.726,0.089,0.211
0.661,0.95,0.517,0.333
0.484,0.572,0.179,0.227
0.493,0.49,0.49,0.271
0.468,0.504,0.282,0.05
0.331,0.629,0.361,0.05
0.126,0.553,0.135,0.135
0.542,0.248,0.188,0.427
0.5,0.544,0.527,0.321
0.243,0.621,0.639,0.274
0.443,0.748,0.484,0.396
0.221,0.286,0.455,0.136
0.521,0.323,0.323,0.28
0.33,0.623,0.516,0.318
0.494,0.725,0.593,0.16
0.569,0.655,0.249,0.395
0.637,0.507,0.407,0.263
0.464,0.157,0.77,0.186
0.734,0.05,0.499,0.112
0.485,0.749,0.05,0.469
0.78,0.389,0.05,0.453
0.575,0.075,0.735,0.512
0.326,0.67,0.203,0.337
0.474,0.579,0.27,0.247
0.921,0.365,0.348,0.244
0.658,0.2,0.58,0.402
0.53,0.139,0.093,0.317
0.642,0.417,0.646,0.178
0.602,0.175,0.295,0.271
0.835,0.529,0.693,0.341
0.591,0.808,0.386,0.23
0.584,0.615,0.385,0.268
0.856,0.278,0.353,0.426
0.837,0.269,0.536,0.353
0.773,0.745,0.388,0.3
0.95,0.92,0.441,0.316
0.538,0.599,0.263,0.241
0.437,0.464,0.478,0.486
0.622,0.144,0.458,0.51
0.533,0.866,0.754,0.246
0.623,0.869,0.267,0.247
0.722,0.229,0.432,0.129
0.519,0.325,0.42,0.097
0.851,0.647,0.12,0.286
0.127,0.285,0.337,0.285
0.266,0.437,0.332,0.563
0.387,0.334,0.699,0.477
0.129,0.33,0.626,0.704
0.257,0.761,0.806,0.58
0.225,0.518,0.548,0.05
0.269,0.45,0.576,0.517
0.365,0.807,0.681,0.578
0.482,0.573,0.226,0.95
0.168,0.95,0.413,0.466
0.294,0.459,0.467,0.402
0.148,0.627,0.608,0.623
0.352,0.313,0.502,0.509
0.222,0.467,0.428,0.379
0.218,0.638,0.327,0.323
0.273,0.263,0.723,0.75
0.215,0.432,0.403,0.632
0.45,0.622,0.483,0.553
0.198,0.475,0.447,0.879
0.084,0.882,0.756,0.367
0.276,0.472,0.638,0.643
0.264,0.523,0.417,0.581
0.405,0.772,0.451,0.331
0.302,0.634,0.056,0.95
0.207,0.05,0.362,0.654
0.22,0.05,0.644,0.764
0.223,0.468,0.203,0.753
0.283,0.251,0.513,0.366
0.337,0.322,0.635,0.65
0.4,0.95,0.499,0.777
0.124,0.577,0.895,0.473
0.321,0.864,0.206,0.501
0.202,0.47,0.943,0.162
0.309,0.942,0.679,0.357
0.259,0.303,0.484,0.184
0.341,0.593,0.566,0.823
0.173,0.477,0.911,0.578
0.323,0.705,0.63,0.23
0.299,0.784,0.152,0.775
0.05,0.691,0.697,0.296
0.241,0.683,0.316,0.619
0.134,0.692,0.743,0.259
0.441,0.352,0.622,0.792
0.248,0.394,0.95,0.34
0.318,0.681,0.453,0.367
0.099,0.574,0.479,0.613
0.142,0.677,0.501,0.372
0.321,0.216,0.626,0.492
0.277,0.564,0.259,0.419
0.05,0.899,0.419,0.446
0.219,0.116,0.699,0.39
0.353,0.749,0.762,0.401
0.195,0.332,0.592,0.692
0.173,0.748,0.944,0.523
0.234,0.451,0.827,0.431
0.226,0.618,0.322,0.671
0.315,0.334,0.311,0.567
0.141,0.512,0.881,0.298
0.138,0.094,0.492,0.95
0.24,0.95,0.271,0.68
0.138,0.95,0.495,0.05
0.303,0.676,0.624,0.289
0.311,0.474,0.375,0.695
0.102,0.762,0.577,0.434
0.447,0.438,0.384,0.832
0.213,0.417,0.373,0.326
0.23,0.821,0.06,0.466
0.149,0.296,0.574,0.662
0.33,0.95,0.851,0.364
0.272,0.109,0.656,0.517
0.321,0.107,0.504,0.564
0.101,0.05,0.485,0.761
0.177,0.53,0.95,0.442
0.161,0.489,0.217,0.56
0.328,0.5,0.605,0.718
0.348,0.548,0.373,0.437
0.305,0.542,0.859,0.37
0.33,0.543,0.05,0.747
0.288,0.7,0.646,0.794
0.379,0.268,0.764,0.429
0.117,0.596,0.761,0.755
0.158,0.277,0.406,0.634
0.209,0.449,0.266,0.622
0.235,0.475,0.662,0.674
0.19,0.05,0.473,0.676
0.1,0.117,0.05,0.784
0.12,0.354,0.588,0.594
0.353,0.318,0.502,0.736
0.282,0.875,0.401,0.464
0.278,0.107,0.5,0.48
0.336,0.95,0.229,0.484
0.404,0.747,0.352,0.581
0.158,0.335,0.583,0.144
0.181,0.772,0.324,0.584
0.141,0.374,0.737,0.61
0.209,0.442,0.569,0.762
0.086,0.387,0.95,0.296
0.203,0.654,0.568,0.732
0.05,0.669,0.284,0.371
0.284,0.614,0.604,0.446
0.124,0.456,0.59,0.489
0.299,0.658,0.113,0.461
0.306,0.199,0.05,0.64
0.228,0.305,0.275,0.562
0.345,0.436,0.545,0.661
0.097,0.48,0.757,0.151
0.247,0.457,0.725,0.368
0.141,0.58,0.412,0.861
0.292,0.521,0.39,0.571
0.388,0.408,0.611,0.35
0.309,0.95,0.503,0.673
0.204,0.568,0.581,0.43
0.274,0.785,0.537,0.391
0.339,0.95,0.541,0.462
0.131,0.638,0.95,0.762
0.25,0.448,0.389,0.577
0.276,0.436,0.657,0.389
0.128,0.731,0.707,0.599
0.09,0.645,0.306,0.554
0.289,0.423,0.508,0.597
0.335,0.242,0.913,0.65
0.256,0.95,0.604,0.422
0.221,0.818,0.535,0.679
0.145,0.673,0.662,0.389
0.469,0.542,0.05,0.95
0.154,0.857,0.532,0.489
0.177,0.834,0.603,0.058
0.334,0.169,0.687,0.616
0.17,0.593,0.95,0.253
0.229,0.924,0.463,0.625
0.264,0.198,0.525,0.777
0.255,0.391,0.616,0.853
0.422,0.598,0.162,0.735
0.134,0.309,0.477,0.558
0.218,0.436,0.139,0.829
0.326,0.371,0.659,0.595
0.267,0.502,0.571,0.109
0.4,0.21,0.668,0.95
0.146,0.707,0.679,0.768
0.195,0.449,0.26,0.359
0.305,0.388,0.737,0.95
0.25,0.284,0.565,0.623
0.218,0.346,0.507,0.571
0.27,0.773,0.204,0.696
0.228,0.567,0.563,0.307
0.242,0.607,0.475,0.818
0.438,0.475,0.559,0.59
0.366,0.499,0.398,0.606
0.206,0.35,0.757,0.248
0.163,0.924,0.361,0.806
0.281,0.363,0.654,0.213
0.171,0.592,0.57,0.536
0.42,0.115,0.711,0.274
0.267,0.874,0.756,0.58
0.194,0.412,0.335,0.757
0.249,0.929,0.743,0.453
0.136,0.19,0.137,0.636
0.248,0.309,0.314,0.735
0.265,0.582,0.37,0.735
0.253,0.565,0.677,0.556
0.099,0.431,0.544,0.615
0.288,0.451,0.6,0.377
0.193,0.668,0.744,0.413
0.253,0.217,0.392,0.95
0.188,0.95,0.653,0.189
0.336,0.321,0.271,0.934
0.163,0.477,0.699,0.906
0.386,0.422,0.104,0.364
0.118,0.251,0.05,0.717
0.28,0.574,0.278,0.788
0.172,0.316,0.95,0.191
0.281,0.587,0.715,0.364
0.295,0.427,0.551,0.429
0.268,0.482,0.501,0.327
0.337,0.735,0.154,0.92
0.05,0.87,0.47,0.95
0.211,0.627,0.727,0.423
0.246,0.666,0.532,0.389
0.146,0.473,0.504,0.616
0.235,0.05,0.803,0.421
0.177,0.375,0.439,0.384
0.391,0.605,0.434,0.813
0.227,0.631,0.24,0.473
0.195,0.698,0.69,0.556
0.188,0.679,0.519,0.247
0.336,0.779,0.526,0.5
0.265,0.364,0.609,0.701
0.226,0.476,0.555,0.95
