"Vehicle_ID","Vehicle_Type","Road","Speed","Waiting_Time","Traffic_Level","Vehicle_Count","Weather_Condition","Accident_Status","Signal_Delay"
57,"Van","Street",65.85,2.42,"Low",21,"Rainy","No",58.59
58,"Auto","Expressway",78.59,8.13,"High",187,"Sunny","No",6.16
59,"Car","Street",38.32,19.25,"High",192,"Foggy","Yes",49.68
60,"Bus","Expressway",105.51,2.01,"High",199,"Sunny","No",2.02
61,"Bike","Expressway",39.42,19.78,"Low",119,"Cloudy","No",53.84
62,"Bike","Highway",76,2.93,"High",191,"Sunny","No",30.68
63,"Van","Street",89.49,1.94,"Medium",109,"Rainy","No",14.02
64,"Van","Rural Road",30.63,19.91,"Low",90,"Sunny","No",11.14
65,"Truck","Main Road",106.19,26.22,"Medium",95,"Rainy","No",45.36
66,"Van","Rural Road",118.3,28.9,"Low",57,"Cloudy","No",25.79
67,"Van","Highway",100.76,16.75,"Medium",90,"Cloudy","No",7.95
68,"Car","Junction",84.11,22.04,"High",119,"Cloudy","No",6.75
69,"Van","Rural Road",69.79,4.83,"Medium",140,"Sunny","No",36.15
70,"Bus","Junction",98.72,17.17,"Low",46,"Cloudy","No",35.45
71,"Car","Main Road",73.63,18.62,"Medium",59,"Foggy","No",37.27
72,"Bus","Highway",77.34,1.4,"High",126,"Cloudy","Yes",31.5
73,"Bike","Main Road",42.44,25.09,"High",109,"Foggy","Yes",54.69
74,"Auto","Expressway",89.37,25.73,"Medium",147,"Cloudy","No",54.81
75,"Auto","Rural Road",81.61,21.89,"Medium",57,"Foggy","No",57.24
76,"Van","Expressway",40.41,17.65,"High",34,"Sunny","No",44.92
77,"Truck","Street",104.1,10.94,"Medium",59,"Sunny","No",23.86
78,"Car","Junction",31.14,9.99,"Medium",149,"Sunny","No",2.36
79,"Bike","City Road",36.56,29.74,"Medium",106,"Foggy","No",54.49
80,"Van","Street",109.12,24.03,"High",45,"Cloudy","No",58.46
81,"Car","City Road",104.12,13.35,"Medium",169,"Rainy","Yes",42.48
82,"Van","Junction",50.59,26.4,"Low",189,"Sunny","No",45.34
83,"Car","Expressway",45.79,19.28,"Medium",96,"Sunny","No",48.32
84,"Truck","Bridge",72.65,13.6,"Medium",99,"Foggy","No",35.34
85,"Van","City Road",86.65,20.82,"Low",39,"Sunny","No",15.26
86,"Bike","Rural Road",103.31,18.96,"High",196,"Sunny","No",16.87
87,"Car","Highway",28.25,25.01,"High",114,"Sunny","No",43.75
88,"Van","Highway",40.45,21.2,"High",183,"Foggy","No",38.24
89,"Van","Highway",76.79,24.24,"Low",105,"Rainy","No",4.58
90,"Truck","Expressway",93.41,22.83,"Medium",191,"Cloudy","No",39.97
91,"Van","Junction",110.5,15.28,"Low",81,"Sunny","No",3.68
92,"Auto","Bridge",49.09,24.01,"Medium",88,"Cloudy","No",30.9
93,"Truck","Highway",66.88,13.98,"Medium",151,"Foggy","Yes",52.66
94,"Van","Highway",48.35,24.8,"High",180,"Cloudy","Yes",17.64
95,"Bus","Junction",25.67,5.06,"Medium",147,"Sunny","Yes",42.51
96,"Auto","Junction",46.39,12.94,"Medium",43,"Rainy","No",1.45
97,"Auto","Junction",114.86,20.18,"Low",71,"Foggy","No",31.24
98,"Truck","Rural Road",109.96,24.16,"Medium",103,"Foggy","No",35.32
99,"Bus","Junction",40.56,23.11,"Medium",158,"Foggy","No",47.37
100,"Bus","Bridge",110.6,9.95,"Low",85,"Rainy","No",15.5
101,"Bus","Rural Road",36.34,10.77,"High",105,"Rainy","No",39.4
102,"Bike","Expressway",111.64,24.67,"Low",184,"Cloudy","No",49.05
103,"Bus","Main Road",46.91,24.29,"High",138,"Sunny","No",29.11
104,"Bus","Expressway",92.04,24.8,"Medium",187,"Sunny","No",12.03
105,"Van","City Road",35.97,16.22,"High",40,"Foggy","No",54.65
106,"Bike","Main Road",21.38,1.4,"Low",178,"Cloudy","No",9.85
107,"Bike","Rural Road",77.82,21.3,"Low",198,"Cloudy","No",35.77
108,"Van","Bridge",91.91,4.5,"High",174,"Rainy","No",6.54
109,"Car","Street",83.05,7.64,"Low",180,"Cloudy","No",51.36
110,"Van","Expressway",117.35,11.65,"High",113,"Rainy","No",58.33
111,"Van","Junction",55.9,25.88,"Low",163,"Rainy","Yes",53.05
112,"Van","Bridge",76.87,16.08,"Low",116,"Foggy","Yes",58.35
113,"Truck","City Road",99.46,3.86,"Medium",138,"Sunny","No",8.45
114,"Van","Highway",22.78,21.89,"High",95,"Sunny","No",35.03
115,"Truck","Street",87.21,29.48,"High",88,"Cloudy","No",39.75
116,"Van","Expressway",107.94,5.23,"Low",82,"Sunny","No",23.61
117,"Car","Expressway",30.04,13.45,"High",143,"Rainy","No",41.09
118,"Truck","Bridge",86.89,24.18,"High",12,"Foggy","Yes",45.02
119,"Auto","Street",94.53,3.32,"Medium",79,"Rainy","No",33.71
120,"Bus","Rural Road",48.56,14.47,"High",154,"Cloudy","No",12.73
121,"Van","Rural Road",29.7,5.3,"Medium",132,"Rainy","No",3.27
122,"Van","Junction",29.2,4.69,"Medium",114,"Cloudy","No",31.97
123,"Truck","Street",66.66,1.66,"Medium",123,"Cloudy","No",5.82
124,"Bus","Street",58.55,16.27,"Low",114,"Foggy","No",9.51
125,"Auto","Bridge",59.22,13.15,"Low",200,"Cloudy","No",57.49
126,"Van","Bridge",89.18,2.7,"Medium",86,"Cloudy","No",48.85
127,"Auto","Highway",41.22,17.68,"Medium",118,"Sunny","No",49.42
128,"Truck","Rural Road",28.02,1.86,"Low",102,"Cloudy","No",44.23
129,"Bike","Expressway",107,8.54,"Low",170,"Cloudy","No",16.7
130,"Bike","Junction",61.04,12.84,"Medium",93,"Foggy","No",20.93
131,"Van","Main Road",71.03,13.55,"Medium",89,"Cloudy","No",1.84
132,"Bike","Highway",92.57,25.85,"Low",44,"Foggy","No",7.82
133,"Auto","Bridge",89.8,3.8,"High",125,"Foggy","No",3.12
134,"Truck","Junction",38.41,17.61,"Medium",17,"Sunny","No",7.15
135,"Car","Junction",68.2,25.52,"Low",164,"Foggy","No",3.37
136,"Van","Highway",97.74,24.07,"High",144,"Cloudy","No",56.52
137,"Bus","Main Road",38.83,13.59,"Medium",76,"Sunny","No",13.67
138,"Car","Expressway",80.01,29.09,"Low",185,"Rainy","Yes",22.66
139,"Bus","Rural Road",91.94,18.76,"High",198,"Rainy","No",40.92
140,"Auto","Main Road",85.66,21.55,"High",170,"Cloudy","No",51.85
141,"Truck","City Road",41.28,29.51,"High",54,"Cloudy","No",45.11
142,"Bike","City Road",75.83,9.97,"Low",36,"Sunny","No",29.8
143,"Bike","Bridge",100.22,25.23,"High",142,"Rainy","Yes",34.05
144,"Car","City Road",24.18,21.22,"Low",11,"Rainy","No",38.85
145,"Van","City Road",119.22,4.41,"Low",158,"Rainy","No",0.82
146,"Van","Highway",114.51,17.82,"Medium",59,"Rainy","No",5.97
147,"Bike","Rural Road",83.43,26.22,"Medium",188,"Foggy","No",50.41
148,"Car","Rural Road",67.76,29.35,"Low",157,"Cloudy","No",0.8
149,"Van","Junction",95.01,2.38,"Medium",184,"Cloudy","No",3.09
150,"Truck","Bridge",118.13,7.11,"Medium",166,"Foggy","No",53.07
151,"Bike","City Road",86.9,29.94,"High",46,"Sunny","No",6.56
152,"Truck","Rural Road",53.54,19.63,"High",31,"Sunny","Yes",1.7
153,"Auto","City Road",109.45,27.97,"High",121,"Foggy","No",55.94
154,"Bike","Expressway",62.68,12.1,"Medium",96,"Rainy","No",32.59
155,"Bike","Main Road",30.58,2.72,"High",193,"Rainy","No",12.78
156,"Bike","Rural Road",108.04,2.68,"High",188,"Sunny","No",9.51
157,"Van","Highway",36.94,6.81,"Low",32,"Rainy","No",10.83
158,"Car","Bridge",114.68,18.88,"Low",110,"Foggy","Yes",19.47
159,"Bus","Junction",72.95,28.25,"High",12,"Sunny","No",52.83
160,"Truck","Main Road",44.85,14.91,"Medium",31,"Sunny","No",42.32
161,"Bike","Bridge",67.62,4.57,"Medium",105,"Sunny","No",54.71
162,"Truck","Rural Road",55.77,6.18,"High",41,"Cloudy","No",42.61
163,"Car","City Road",32.49,29.76,"Medium",24,"Rainy","No",33.28
164,"Van","Main Road",54.01,21.79,"Medium",15,"Sunny","No",28.45
165,"Auto","Main Road",23.97,27.32,"Low",158,"Sunny","No",53.26
166,"Auto","Rural Road",98.43,14.69,"Low",95,"Sunny","No",37.4
167,"Bus","Main Road",51.86,24.15,"High",195,"Sunny","No",53.69
168,"Truck","Rural Road",91.31,2.8,"Medium",191,"Sunny","No",7.68
169,"Auto","Junction",115,10.44,"Low",63,"Foggy","No",42.55
170,"Van","Highway",50.19,9.71,"Low",160,"Sunny","No",29.96
171,"Van","Highway",118.76,28.63,"Medium",81,"Cloudy","No",38.88
172,"Car","Main Road",35.66,25.06,"Medium",187,"Rainy","No",28.24
173,"Bike","Main Road",99.82,17.59,"Medium",23,"Sunny","No",44.58
174,"Bus","Bridge",75.93,16.59,"Low",130,"Cloudy","No",49.54
175,"Bike","Junction",25.26,25.95,"High",177,"Sunny","No",57.88
176,"Auto","Main Road",67.52,6.57,"High",48,"Cloudy","Yes",58.27
177,"Auto","Bridge",97.33,9.2,"High",104,"Foggy","No",40.57
178,"Van","Junction",102.59,8.46,"Low",78,"Sunny","No",33.36
179,"Auto","Bridge",49.45,23.96,"Low",24,"Cloudy","No",58.42
180,"Auto","Highway",27.96,23.25,"Medium",117,"Sunny","No",28.85
181,"Car","Junction",75.09,5.8,"Medium",90,"Cloudy","No",7.81
182,"Bus","Street",90.21,7.51,"High",37,"Foggy","No",48.07
183,"Car","Junction",95.1,9.58,"Low",125,"Rainy","No",5.89
184,"Bus","Main Road",103.79,18.4,"High",150,"Cloudy","No",7.45
185,"Auto","Highway",115.15,13.43,"Medium",181,"Foggy","No",59.4
186,"Auto","Bridge",87.08,8.36,"Medium",145,"Cloudy","No",38.86
187,"Car","Rural Road",75.35,26.68,"Medium",69,"Rainy","No",18.62
188,"Bus","Bridge",36.43,29.43,"Medium",36,"Rainy","No",1.81
189,"Auto","Junction",44.09,17.6,"High",120,"Sunny","No",24.57
190,"Bike","Junction",30.02,21.56,"High",163,"Cloudy","No",55.59
191,"Bus","Highway",97.78,10.43,"Medium",42,"Rainy","No",36.6
192,"Van","Bridge",104.91,18.99,"Low",44,"Rainy","No",52.61
193,"Bus","Rural Road",99.38,5.29,"Medium",33,"Rainy","No",32.35
194,"Truck","Rural Road",117.97,21.78,"High",73,"Cloudy","No",52.46
195,"Car","Expressway",101.7,7.68,"Medium",74,"Foggy","No",35.47
196,"Car","Highway",31.46,9.22,"Low",63,"Foggy","No",22.17
197,"Auto","Street",107.36,19.08,"High",105,"Cloudy","No",59.04
198,"Auto","Rural Road",85.39,23.44,"High",129,"Cloudy","No",28.27
199,"Truck","Bridge",81.36,19.56,"High",60,"Cloudy","No",17.74
200,"Bus","Main Road",35.06,13.44,"High",14,"Foggy","No",49.22
201,"Auto","Expressway",37.28,12.25,"High",61,"Sunny","No",12.54
202,"Van","Highway",39.12,13.91,"Low",79,"Sunny","No",58.66
203,"Auto","Main Road",75.3,8.27,"Medium",99,"Foggy","No",14.03
204,"Truck","Highway",98.12,20.4,"Low",85,"Rainy","No",17.12
205,"Truck","Main Road",23.9,1.56,"High",152,"Foggy","No",53.06
206,"Car","Street",35.12,26.62,"High",183,"Rainy","No",46.46
207,"Bike","Highway",107.51,19.77,"Medium",126,"Cloudy","No",58.87
208,"Bus","Bridge",34.55,17.56,"Low",54,"Foggy","No",19.89
209,"Car","Junction",89.35,11.29,"High",87,"Cloudy","No",39.71
210,"Bus","City Road",103.93,29.16,"High",126,"Foggy","No",33.83
211,"Bike","Highway",95.89,14.97,"Low",87,"Sunny","No",5.23
212,"Auto","Bridge",51.58,11.25,"Medium",14,"Foggy","No",3.76
213,"Car","Rural Road",76.4,13.91,"High",75,"Sunny","Yes",9.59
214,"Car","Main Road",60.23,8.05,"High",163,"Sunny","No",48.91
215,"Car","Expressway",20.84,1.59,"Medium",91,"Cloudy","No",42.1
216,"Auto","Bridge",69.41,9.87,"Medium",54,"Sunny","No",0.23
217,"Van","Street",47.1,14.48,"Medium",91,"Foggy","Yes",23.04
218,"Van","Rural Road",46.21,17.07,"Medium",154,"Rainy","No",53.33
219,"Van","Street",102.75,28.97,"High",139,"Foggy","No",6.83
220,"Truck","Street",93.15,27.91,"High",77,"Foggy","No",37.73
221,"Car","Rural Road",59.22,29.07,"Medium",79,"Sunny","No",46.97
222,"Bus","Main Road",68.15,22.03,"Low",102,"Rainy","No",46.71
223,"Bus","Expressway",99.87,2.93,"Medium",49,"Foggy","Yes",3.49
224,"Car","Junction",68.99,1.55,"Medium",70,"Rainy","No",50.38
225,"Bus","City Road",37.42,15.85,"Medium",147,"Rainy","No",48.08
226,"Car","Expressway",99.44,19.85,"Low",16,"Cloudy","Yes",28.65
227,"Auto","Street",80.18,1.55,"Medium",93,"Foggy","No",6.28
228,"Bus","Street",75.98,28.87,"High",177,"Foggy","No",58.97
229,"Truck","Highway",49.18,9.03,"Medium",194,"Sunny","Yes",59.5
230,"Auto","Junction",87.03,21.36,"Medium",181,"Foggy","No",39.04
231,"Bike","Bridge",45.81,28.81,"Low",52,"Cloudy","No",47.9
232,"Auto","Junction",27.92,21.45,"Medium",187,"Sunny","No",26.95
233,"Bus","Rural Road",62.63,24.12,"Medium",101,"Sunny","No",41.85
234,"Car","Rural Road",67.19,14.75,"Low",184,"Rainy","No",3.07
235,"Bike","City Road",115.68,11.61,"High",48,"Rainy","No",21.11
236,"Van","Rural Road",57.39,3.1,"Low",74,"Rainy","No",10.38
237,"Bus","City Road",76.84,11.04,"High",21,"Sunny","No",46.84
238,"Van","Street",86.6,13.28,"Medium",48,"Foggy","No",28.81
239,"Auto","Main Road",78.8,14.55,"Medium",64,"Foggy","No",19.24
240,"Car","Junction",75.86,18.55,"Low",18,"Sunny","No",55.19
241,"Auto","Main Road",114.43,4.43,"Medium",56,"Cloudy","No",30.92
242,"Car","Junction",73.55,26.44,"Medium",58,"Cloudy","No",30.87
243,"Bike","Street",58.68,16.66,"Low",125,"Sunny","No",1.14
244,"Truck","Highway",65.67,22.1,"Low",181,"Sunny","No",29.23
245,"Car","Highway",89.77,6.8,"Medium",191,"Sunny","No",27.22
246,"Van","Highway",24.14,26.74,"Low",99,"Rainy","No",24.41
247,"Car","Main Road",43.48,3.55,"High",71,"Cloudy","No",57.41
248,"Bus","Street",97.9,3,"Low",177,"Sunny","No",5.73
249,"Bike","Rural Road",100.19,6.94,"Low",73,"Rainy","No",53.14
250,"Bus","Street",57.48,20.97,"Medium",92,"Foggy","No",13.33
251,"Car","Junction",28.9,25.71,"Low",123,"Sunny","No",22.18
252,"Auto","Junction",58.86,14.28,"High",82,"Foggy","No",18.86
253,"Auto","Junction",67.77,5.24,"Medium",36,"Foggy","No",55.32
254,"Car","Rural Road",39.77,20.3,"High",154,"Cloudy","No",28.61
255,"Car","Highway",107.03,5.91,"Medium",58,"Cloudy","No",56.35
256,"Auto","Main Road",81.35,13.2,"Medium",152,"Rainy","No",29.24
257,"Auto","City Road",110.96,1.29,"High",107,"Sunny","No",52.2
258,"Bus","Main Road",111.47,18.17,"Medium",13,"Foggy","No",59.36
259,"Bus","Bridge",66.55,21.48,"Low",171,"Cloudy","No",58.33
260,"Van","Junction",64.41,21.37,"Low",42,"Rainy","No",42.83
261,"Auto","Junction",20.84,16.51,"Low",134,"Foggy","No",51.8
262,"Car","Expressway",84.08,3.12,"Low",113,"Foggy","No",41.47
263,"Car","Bridge",115,11.13,"Low",128,"Foggy","No",3.81
264,"Auto","Street",27.54,26.94,"Low",51,"Sunny","No",0.68
265,"Auto","Highway",46.68,24.72,"Low",131,"Rainy","No",58.88
266,"Bike","City Road",37.69,24.42,"Low",61,"Cloudy","No",6.06
267,"Auto","Bridge",96.37,15.74,"Medium",172,"Cloudy","No",31.14
268,"Auto","Bridge",49.62,26.01,"Medium",161,"Foggy","No",50.15
269,"Bike","Junction",24.49,21.8,"High",43,"Sunny","No",26.84
270,"Bus","Junction",102.34,26.12,"Low",120,"Rainy","No",44.5
271,"Auto","City Road",52.77,10.77,"Medium",113,"Foggy","No",32.23
272,"Car","Main Road",75.37,7.63,"Low",197,"Cloudy","No",57.79
273,"Car","City Road",114.86,8.62,"Low",10,"Cloudy","No",19.83
274,"Bus","Highway",68.93,23.03,"High",65,"Cloudy","No",53.88
275,"Car","Rural Road",83.42,26.08,"Low",137,"Sunny","No",8.67
276,"Bus","Expressway",52.22,12.36,"Medium",109,"Sunny","No",3.83
277,"Auto","Rural Road",83.44,24.13,"Medium",134,"Cloudy","No",0.11
278,"Car","Expressway",26.59,29.85,"Medium",181,"Rainy","No",31.95
279,"Truck","Expressway",101.54,24.77,"High",177,"Rainy","No",4.9
280,"Bus","Main Road",86.05,25.33,"Low",38,"Foggy","Yes",29.51
281,"Bus","Expressway",28.62,20.18,"High",132,"Foggy","No",50.69
282,"Auto","Street",104.43,18.8,"High",153,"Cloudy","No",4.01
283,"Bike","Rural Road",71.27,14.09,"Medium",16,"Foggy","No",5.63
284,"Car","Highway",59.09,3.34,"Low",166,"Rainy","Yes",48.43
285,"Auto","Bridge",88.26,6.58,"High",135,"Sunny","No",41.69
286,"Bus","Expressway",50.73,5.6,"Medium",182,"Foggy","No",43.78
287,"Auto","City Road",107.14,29.31,"High",37,"Rainy","No",30.9
288,"Van","Highway",43.85,8.34,"Low",175,"Sunny","No",59.73
289,"Bus","Junction",40.91,17.28,"Medium",95,"Foggy","Yes",48.7
290,"Bus","Main Road",38.37,29.44,"High",174,"Cloudy","No",37.43
291,"Van","Expressway",79.26,11.6,"Low",94,"Cloudy","No",30.95
292,"Bike","Rural Road",95.84,16.39,"Medium",14,"Rainy","No",59.16
293,"Truck","Main Road",94.74,28.89,"Low",199,"Foggy","No",20.48
294,"Bike","Main Road",118.92,29.73,"High",59,"Sunny","No",9.24
295,"Truck","City Road",119.99,28.67,"High",24,"Cloudy","No",20.4
296,"Truck","Junction",24.69,21.33,"High",47,"Foggy","No",26.99
297,"Truck","Bridge",114.41,8.33,"High",27,"Cloudy","No",21.33
298,"Auto","Junction",106.76,25.96,"Medium",61,"Sunny","Yes",50.13
299,"Truck","Street",20.89,15.47,"High",73,"Cloudy","No",3.23
300,"Bus","Junction",65.36,14.51,"Low",105,"Sunny","No",8.4
301,"Truck","Rural Road",70.69,12.24,"High",90,"Foggy","No",7.16
302,"Car","Street",57.5,5.28,"Low",138,"Foggy","No",33.06
303,"Auto","Highway",77.58,25.09,"Medium",52,"Cloudy","No",8.01
304,"Van","Main Road",75.05,1.4,"Low",195,"Sunny","No",12.35
305,"Van","Junction",99.34,11.94,"Medium",17,"Sunny","No",50.16
306,"Car","Highway",65.63,29.68,"Medium",142,"Sunny","No",30.45
307,"Bike","Bridge",44.22,18.62,"Low",157,"Sunny","No",55.04
308,"Bus","Rural Road",68,4.1,"Medium",132,"Foggy","No",32.38
309,"Van","Bridge",104.05,15.98,"Low",118,"Sunny","No",21.69
310,"Bus","Expressway",119.21,20.52,"High",191,"Sunny","No",52.21
311,"Bike","Junction",44.42,15.44,"High",178,"Foggy","No",18.44
312,"Car","Street",82.3,19.38,"Low",54,"Foggy","No",22.7
313,"Bike","Highway",65.88,5.77,"Low",37,"Cloudy","No",43.26
314,"Auto","Rural Road",104.84,15.1,"Low",110,"Cloudy","No",35.6
315,"Auto","Expressway",92.7,17.16,"Medium",50,"Foggy","No",40.59
316,"Truck","Expressway",39.13,15.74,"Medium",38,"Foggy","No",53.53
317,"Auto","Bridge",47.16,20.6,"High",128,"Foggy","No",56.03
318,"Auto","Street",37.24,1.7,"Medium",25,"Cloudy","Yes",34.85
319,"Truck","Highway",73.38,15.94,"Low",173,"Cloudy","No",13.97
320,"Car","Rural Road",53.39,1.9,"Medium",78,"Cloudy","No",37.35
321,"Truck","Expressway",114.27,11.3,"Medium",163,"Cloudy","No",11.07
322,"Bike","Street",116.37,23.75,"High",71,"Cloudy","No",46.17
323,"Bus","Main Road",52.14,21.71,"Medium",200,"Cloudy","No",16.67
324,"Auto","Highway",87.59,3.14,"Medium",88,"Foggy","No",46.54
325,"Car","Expressway",32.33,16.9,"Medium",126,"Foggy","No",24.67
326,"Bike","Main Road",90.98,9.53,"Medium",176,"Sunny","No",11.31
327,"Van","Highway",96.54,24.13,"Medium",87,"Cloudy","No",43.19
328,"Truck","Street",53.16,4.52,"Medium",182,"Sunny","No",5.1
329,"Van","Bridge",41.64,5.44,"Medium",133,"Rainy","No",41.7
330,"Car","Bridge",64.92,27.72,"Medium",193,"Foggy","Yes",58.32
331,"Bus","Rural Road",59.42,29.25,"Low",92,"Sunny","No",6.23
332,"Van","Main Road",77.48,25.78,"Medium",151,"Foggy","No",46.04
333,"Truck","Junction",89.42,5.3,"Low",50,"Sunny","No",26.66
334,"Truck","Street",26.04,2.02,"Low",178,"Cloudy","Yes",51.46
335,"Car","Main Road",87.77,10.04,"High",109,"Foggy","Yes",12.13
336,"Bus","Rural Road",101.84,21.26,"High",33,"Cloudy","No",32.51
337,"Car","Rural Road",108.09,23.43,"Low",122,"Foggy","No",15.33
338,"Van","Expressway",28.69,9.78,"High",80,"Rainy","No",1.9
339,"Bus","Street",44.84,19.9,"Medium",191,"Sunny","No",37.85
340,"Bus","Street",103.68,4.01,"Low",141,"Rainy","No",46.71
341,"Bus","Expressway",57.5,2.99,"Medium",40,"Foggy","No",15.85
342,"Auto","Rural Road",77.41,4.42,"Medium",28,"Foggy","No",32.06
343,"Bike","Bridge",45.53,8.66,"High",44,"Cloudy","No",5.18
344,"Van","Rural Road",21.78,16.09,"Medium",12,"Foggy","No",3.25
345,"Bike","Highway",63.54,23.23,"Medium",127,"Sunny","No",6.04
346,"Auto","Highway",110.65,15.28,"Medium",57,"Sunny","No",22.95
347,"Bike","Rural Road",117.67,29.54,"Medium",52,"Rainy","No",38.91
348,"Van","Expressway",65.39,3.14,"Medium",169,"Sunny","No",57.08
349,"Car","Junction",67.57,28.74,"Low",195,"Cloudy","No",2.56
350,"Bus","Expressway",95.72,25.03,"High",187,"Foggy","No",17.39
351,"Car","Bridge",68.89,29.27,"High",151,"Rainy","No",39.04
352,"Bus","City Road",101.39,19.49,"Low",59,"Foggy","No",37.48
353,"Truck","Expressway",89.55,26.32,"High",80,"Rainy","No",0.88
354,"Bus","Expressway",113.59,14.35,"Low",73,"Rainy","No",27.39
355,"Truck","City Road",31.18,20.91,"Medium",138,"Cloudy","No",50.36
356,"Car","Bridge",97.56,19.25,"Medium",98,"Foggy","No",49.07
357,"Bike","Street",102.99,12.32,"Low",21,"Cloudy","No",14.47
358,"Bus","Rural Road",75.46,9.09,"High",120,"Cloudy","No",21.35
359,"Truck","Expressway",67.67,22.74,"Medium",119,"Rainy","No",26.32
360,"Auto","Highway",32.16,9.45,"Low",132,"Rainy","Yes",21.86
361,"Auto","Rural Road",44.04,8.82,"Low",79,"Rainy","No",46.82
362,"Van","Bridge",101,3.47,"Low",187,"Sunny","No",56.25
363,"Truck","Junction",84.59,1.65,"Low",67,"Cloudy","No",16.45
364,"Van","Highway",78.69,29.1,"High",162,"Rainy","No",39.04
365,"Van","Highway",62.73,26.73,"High",85,"Sunny","No",58.68
366,"Bus","Bridge",106.07,29.05,"High",139,"Foggy","No",1.23
367,"Auto","Expressway",63.97,9.78,"High",200,"Sunny","No",18.01
