State,Action,Reward,Gamma
1,1,9.08,0.914
3,1,2.51,0.895
7,0,5.65,0.948
6,0,7.6,0.956
4,0,5.33,0.936
2,0,8.32,0.894
1,0,7.58,0.888
0,1,7.77,0.894
6,0,7.4,0.897
5,0,10.0,0.933
4,0,6.91,0.879
5,0,3.09,0.949
6,1,9.74,0.859
4,0,8.9,0.899
1,1,7.01,0.951
2,0,3.63,0.975
6,0,7.22,0.931
6,0,5.04,0.968
3,0,6.1,0.85
1,1,3.51,0.875
8,1,8.54,0.934
5,0,7.62,0.868
2,1,6.05,0.9
1,1,9.03,0.899
6,0,10.0,0.933
2,1,7.57,0.908
5,0,6.54,0.922
2,0,6.78,0.85
2,0,7.73,0.85
0,0,7.2,0.872
2,1,4.72,0.99
5,0,7.02,0.939
4,0,7.45,0.916
4,0,8.9,0.963
2,0,4.53,0.875
3,1,5.21,0.932
4,0,7.64,0.935
5,0,8.54,0.87
3,1,8.35,0.97
5,1,6.86,0.92
7,0,3.21,0.892
7,1,1.79,0.874
0,1,9.42,0.99
2,1,6.4,0.99
8,0,2.67,0.99
1,0,8.38,0.947
2,0,7.54,0.914
7,1,5.78,0.917
7,0,3.96,0.979
1,1,3.78,0.956
7,0,5.79,0.884
4,1,3.94,0.934
9,0,6.92,0.945
4,0,9.57,0.899
4,0,7.83,0.919
6,1,5.01,0.99
8,1,4.72,0.959
6,1,9.13,0.928
8,1,10.0,0.929
3,1,7.77,0.911
4,0,6.36,0.99
6,1,3.59,0.99
7,0,9.71,0.897
3,1,10.0,0.906
6,1,4.32,0.874
4,0,5.07,0.859
4,1,8.54,0.931
1,0,4.62,0.935
6,0,6.25,0.924
3,0,4.96,0.863
5,1,4.74,0.97
2,1,8.37,0.902
1,0,7.42,0.931
4,0,6.09,0.913
3,1,8.93,0.862
9,1,6.98,0.85
4,0,10.0,0.946
4,0,6.47,0.908
4,1,7.44,0.956
5,0,5.01,0.886
4,0,6.64,0.938
5,0,8.33,0.94
4,1,3.95,0.909
6,0,6.02,0.942
5,0,7.63,0.85
7,1,5.99,0.945
1,1,9.8,0.971
4,1,6.02,0.907
6,0,6.85,0.92
4,0,9.29,0.857
9,1,7.57,0.916
7,0,2.44,0.956
5,1,1.05,0.941
9,0,6.44,0.946
4,0,4.67,0.915
4,1,4.71,0.886
6,1,10.0,0.852
0,1,6.82,0.956
7,0,10.0,0.898
0,0,6.26,0.926
1,0,10.0,0.882
3,0,5.42,0.925
6,1,6.9,0.881
1,1,5.79,0.937
1,0,8.61,0.884
9,0,9.2,0.91
1,1,2.92,0.99
0,1,-2.27,0.928
1,1,3.44,0.977
3,0,-1.46,0.85
3,0,4.89,0.928
1,1,0.23,0.896
1,0,-0.99,0.99
1,1,0.71,0.973
4,1,-0.02,0.899
1,1,-1.96,0.916
0,1,0.2,0.99
4,1,1.0,0.946
1,1,2.82,0.878
3,0,-1.06,0.951
1,0,3.83,0.956
3,0,2.62,0.934
1,0,-2.63,0.935
2,1,-2.86,0.9
2,1,4.0,0.975
4,0,-4.19,0.977
0,0,-2.08,0.923
0,1,3.42,0.974
1,1,2.12,0.903
2,0,-2.69,0.899
0,1,1.25,0.989
2,0,-3.53,0.85
2,1,-0.76,0.946
0,1,-3.31,0.933
3,0,-1.1,0.972
0,0,4.35,0.885
4,0,-0.11,0.921
4,1,-1.71,0.9
6,0,-3.51,0.99
2,0,3.83,0.958
1,1,-3.18,0.967
2,0,-0.79,0.89
1,1,-1.16,0.884
2,0,3.38,0.902
1,1,-5.0,0.891
1,0,-0.38,0.905
4,0,1.58,0.872
2,0,0.69,0.982
3,0,-2.44,0.969
2,1,-3.21,0.945
2,0,-0.06,0.932
6,0,-3.25,0.961
3,1,-5.0,0.99
3,0,-0.46,0.985
3,0,-2.21,0.882
0,1,-0.28,0.908
4,1,-1.26,0.919
0,1,-1.14,0.881
0,1,-1.7,0.855
3,1,1.88,0.972
0,1,-1.76,0.954
3,0,0.76,0.975
2,0,-1.4,0.943
3,0,4.91,0.99
1,0,-0.76,0.943
0,1,-1.08,0.99
1,1,0.96,0.911
2,1,0.35,0.983
0,1,-3.23,0.905
3,1,-5.0,0.906
3,1,-3.15,0.939
2,0,-1.15,0.884
2,1,3.7,0.99
2,1,2.09,0.929
1,0,-2.92,0.971
2,1,-1.77,0.908
2,1,1.01,0.868
0,0,-0.28,0.893
1,1,0.8,0.946
0,1,1.08,0.913
0,1,1.15,0.882
2,0,2.38,0.974
2,1,-1.95,0.927
2,1,1.33,0.916
1,0,1.38,0.976
1,1,-1.98,0.99
2,0,-1.12,0.91
4,0,1.62,0.89
0,1,1.89,0.919
0,0,-0.4,0.934
1,1,2.0,0.971
1,0,-5.0,0.85
0,1,0.75,0.965
0,1,3.63,0.958
4,0,-0.29,0.892
2,1,5.16,0.962
0,0,-0.49,0.93
4,0,-2.44,0.922
3,0,-1.64,0.923
1,1,-4.52,0.85
3,1,-1.33,0.98
2,0,-5.0,0.94
3,0,0.04,0.893
2,1,2.27,0.922
4,0,-2.34,0.86
1,0,0.15,0.967
2,1,-1.83,0.954
3,0,-1.2,0.899
3,0,-1.06,0.928
3,0,-1.11,0.942
0,1,-3.46,0.914
1,1,1.3,0.937
1,0,-2.16,0.927
2,0,-0.62,0.85
2,1,-1.99,0.875
3,1,2.8,0.949
0,0,-2.3,0.958
3,1,2.1,0.917
1,0,0.2,0.96
4,1,1.59,0.857
0,0,2.13,0.913
2,0,-3.44,0.951
0,0,2.85,0.921
3,1,-4.94,0.981
3,0,-3.76,0.929
1,0,-2.68,0.918
2,0,0.89,0.924
2,0,-0.76,0.99
2,1,0.93,0.911
1,0,2.52,0.95
3,0,-4.62,0.926
0,1,3.92,0.949
3,0,-5.0,0.889
2,0,-0.96,0.962
2,1,-3.38,0.87
2,1,-5.0,0.988
1,0,-3.79,0.911
4,1,6.45,0.964
2,1,2.3,0.913
2,1,0.17,0.908
2,1,0.44,0.92
0,0,-5.0,0.883
0,0,-2.14,0.99
1,0,2.22,0.942
1,1,0.8,0.927
2,0,-1.05,0.972
6,0,1.12,0.941
2,1,-0.59,0.962
1,0,-2.58,0.861
1,1,-2.22,0.936
1,0,1.34,0.948
1,1,1.52,0.954
0,1,0.34,0.885
3,0,-0.94,0.92
2,0,-2.6,0.934
