State,Next_State,Reward,Gamma
13,7,6.99,0.976
12,0,6.48,0.947
11,9,6.28,0.884
15,12,2.17,0.923
8,6,10.0,0.85
8,8,2.13,0.948
15,5,4.11,0.963
7,7,7.66,0.88
12,8,7.68,0.922
12,7,6.54,0.938
12,1,0.98,0.919
14,10,2.11,0.934
9,4,3.88,0.918
11,7,4.81,0.85
12,5,4.54,0.877
14,14,4.95,0.94
9,2,-0.78,0.951
14,12,4.65,0.914
11,8,2.77,0.951
14,13,8.56,0.855
9,10,-1.13,0.895
11,3,6.45,0.951
10,11,-2.5,0.905
14,2,9.14,0.99
12,3,7.87,0.931
11,4,3.89,0.916
11,10,3.26,0.911
11,7,5.45,0.984
13,10,4.13,0.907
11,12,1.08,0.935
10,2,10.0,0.921
12,12,-5.0,0.939
11,1,8.63,0.891
8,7,6.09,0.941
15,3,4.62,0.89
15,0,8.66,0.99
11,2,4.28,0.913
12,15,5.1,0.938
12,12,2.07,0.902
13,9,4.73,0.906
14,9,3.47,0.921
10,0,2.58,0.888
7,3,0.59,0.99
11,11,1.74,0.929
13,9,1.06,0.924
11,7,4.87,0.965
13,13,10.0,0.931
14,8,5.25,0.963
10,4,3.95,0.857
14,4,2.0,0.944
10,10,1.32,0.933
14,10,0.21,0.952
11,7,-0.04,0.88
10,8,6.85,0.91
8,4,6.47,0.92
